objdump.c,2267 
objdump.c,624 elf64-x86-64.c,303
objdump.c,624 elf64-x86-64.c,319
objdump.c,624 plugin.c,423
objdump.c,624 elf64-x86-64.c,1051
objdump.c,624 elfcode.h,1867
objdump.c,624 elf.c,1561
objdump.c,624 elf.c,8073
objdump.c,624 elf.c,8084
objdump.c,624 elf.c,8539
objdump.c,624 elf.c,8605
objdump.c,624 elfcode.h,1867
objdump.c,624 aoutx.h,263
objdump.c,624 aoutx.h,320
objdump.c,624 aoutx.h,1921
objdump.c,624 aoutx.h,2527
objdump.c,624 peicode.h,332
objdump.c,624 coff-i386.c,602
objdump.c,624 coff-i386.c,550
objdump.c,624 coff-i386.c,580
objdump.c,624 coffcode.h,479
objdump.c,624 coffcode.h,1655
objdump.c,624 coffcode.h,2115
objdump.c,624 coffgen.c,428
objdump.c,624 coffgen.c,1511
objdump.c,624 pei-x86_64.c,751
objdump.c,624 peicode.h,332
objdump.c,624 coff-x86_64.c,730
objdump.c,624 coff-x86_64.c,669
objdump.c,624 coff-x86_64.c,708
objdump.c,624 coffcode.h,479
objdump.c,624 coffcode.h,1655
objdump.c,624 coffcode.h,2115
objdump.c,624 plugin.c,482
objdump.c,624 reloc.c,7933
objdump.c,624 zutil.c,315
objdump.c,624 xmalloc.c,155
objdump.c,638 
objdump.c,638 libbfd.c,486
objdump.c,638 libbfd.c,493
objdump.c,638 libbfd.c,500
